filename,label,mean,median,p95,high_error_ratio
FAKE_2791.jpg,FAKE,15.62616,8.0,53.849999999998545,0.00146484375
FAKE_2792.jpg,FAKE,24.438782,21.0,64.0,0.001708984375
FAKE_2793.jpg,FAKE,19.336792,15.0,55.0,0.0009765625
FAKE_2794.jpg,FAKE,23.918701,20.0,58.0,0.001220703125
FAKE_2795.jpg,FAKE,14.948303,9.0,46.0,0.00048828125
FAKE_2796.jpg,FAKE,24.767761,15.0,90.0,0.0120849609375
FAKE_2797.jpg,FAKE,13.281982,10.0,38.0,0.0001220703125
FAKE_2798.jpg,FAKE,13.451355,11.0,35.0,0.0
FAKE_2799.jpg,FAKE,15.690369,5.0,59.0,0.00244140625
FAKE_2800.jpg,FAKE,27.557068,25.0,73.0,0.0047607421875
FAKE_2801.jpg,FAKE,19.51587,16.0,54.849999999998545,0.00164794921875
FAKE_2802.jpg,FAKE,22.122498,17.0,59.0,0.0013427734375
FAKE_2803.jpg,FAKE,18.57837,15.0,53.0,0.0009765625
FAKE_2804.jpg,FAKE,15.962219,13.0,40.0,0.0
FAKE_2805.jpg,FAKE,13.860535,6.0,53.0,0.0009765625
FAKE_2806.jpg,FAKE,19.529907,15.0,54.0,0.00048828125
FAKE_2807.jpg,FAKE,13.860535,6.0,53.0,0.0009765625
FAKE_2808.jpg,FAKE,15.872986,11.0,52.0,0.0008544921875
FAKE_2809.jpg,FAKE,12.802063,10.0,34.0,0.0
FAKE_2810.jpg,FAKE,18.734985,12.0,63.0,0.0025634765625
FAKE_2811.jpg,FAKE,15.167725,12.0,44.0,0.00048828125
FAKE_2812.jpg,FAKE,23.494385,20.0,63.0,0.00189208984375
FAKE_2813.jpg,FAKE,18.154053,16.0,43.0,0.0001220703125
FAKE_2814.jpg,FAKE,14.964661,12.0,39.0,0.0
FAKE_2815.jpg,FAKE,23.19226,19.0,62.0,0.00201416015625
FAKE_2816.jpg,FAKE,12.861145,10.0,34.0,0.0
FAKE_2817.jpg,FAKE,19.34259,17.0,48.0,0.0008544921875
FAKE_2818.jpg,FAKE,13.87323,11.0,38.0,0.00054931640625
FAKE_2819.jpg,FAKE,17.505493,12.0,55.0,0.00048828125
FAKE_2820.jpg,FAKE,14.283386,7.0,52.0,0.0010986328125
FAKE_2821.jpg,FAKE,18.945618,16.0,44.0,6.103515625e-05
FAKE_2822.jpg,FAKE,24.58783,21.0,60.0,0.00262451171875
FAKE_2823.jpg,FAKE,24.933044,20.0,70.0,0.0050048828125
FAKE_2824.jpg,FAKE,15.837341,5.0,61.0,0.0032958984375
FAKE_2825.jpg,FAKE,13.652466,10.0,42.0,0.000244140625
FAKE_2826.jpg,FAKE,23.012207,19.0,65.0,0.00341796875
FAKE_2827.jpg,FAKE,21.833435,17.0,64.0,0.00311279296875
FAKE_2828.jpg,FAKE,21.97052,19.0,58.0,0.00091552734375
FAKE_2829.jpg,FAKE,24.524475,23.0,61.0,0.00152587890625
FAKE_2830.jpg,FAKE,24.356812,21.0,64.0,0.0032958984375
FAKE_2831.jpg,FAKE,15.654114,10.0,52.0,0.00152587890625
FAKE_2832.jpg,FAKE,18.049194,14.0,52.0,0.00128173828125
FAKE_2833.jpg,FAKE,28.091797,26.0,65.0,0.00250244140625
FAKE_2834.jpg,FAKE,24.300781,20.0,61.0,0.00128173828125
FAKE_2835.jpg,FAKE,14.1953125,9.0,48.0,0.0003662109375
FAKE_2836.jpg,FAKE,21.448425,17.0,63.849999999998545,0.00238037109375
FAKE_2837.jpg,FAKE,26.432678,25.0,67.0,0.00146484375
FAKE_2838.jpg,FAKE,17.372803,13.0,49.0,0.00115966796875
FAKE_2839.jpg,FAKE,7.8776855,5.0,27.0,0.0001220703125
FAKE_2840.jpg,FAKE,14.589783,9.0,50.849999999998545,0.000244140625
REAL_1.jpg,REAL,6.620096,5.0,18.0,0.0
REAL_10.jpg,REAL,5.2035813,0.0,25.0,0.00011831275720164609
REAL_11.jpg,REAL,11.174102,6.0,34.0,8.74485596707819e-05
REAL_12.jpg,REAL,10.50517,4.0,36.0,4.112180277983387e-06
REAL_13.jpg,REAL,13.233722,12.0,30.0,0.0
REAL_14.jpg,REAL,10.110815,6.0,35.0,1.3717421124828532e-05
REAL_15.jpg,REAL,13.875055,8.0,42.0,6.239393031845862e-06
REAL_16.jpg,REAL,6.4365005,2.0,24.0,8.856189113699843e-05
REAL_17.jpg,REAL,7.9707913,4.0,26.0,2.1043771043771045e-05
REAL_18.jpg,REAL,11.6047,8.0,36.0,0.0004277375201288245
REAL_19.jpg,REAL,9.545425,8.0,25.0,0.0
REAL_2.jpg,REAL,5.903205,1.0,28.0,1.7146776406035665e-06
REAL_20.jpg,REAL,9.076347,3.0,33.0,4.11522633744856e-06
REAL_21.jpg,REAL,9.111337,3.0,32.0,1.6575217192501143e-05
REAL_22.jpg,REAL,6.03033,0.0,31.0,0.00012547977561263654
REAL_23.jpg,REAL,6.8762784,5.0,20.0,2.57201646090535e-06
REAL_24.jpg,REAL,11.794318,6.0,44.0,0.0005034293552812071
REAL_25.jpg,REAL,2.2942684,0.0,19.0,2.57201646090535e-06
REAL_26.jpg,REAL,12.977683,8.0,44.0,0.00023605395518975765
REAL_27.jpg,REAL,13.780324,8.0,49.0,0.0010857338820301782
REAL_28.jpg,REAL,7.2422376,5.0,22.0,0.0
REAL_29.jpg,REAL,8.953716,7.0,24.0,0.0
REAL_3.jpg,REAL,14.859866,12.0,40.0,6.858710562414266e-05
REAL_30.jpg,REAL,9.4062395,7.0,28.0,3.429355281207133e-06
REAL_31.jpg,REAL,13.12922,7.0,46.0,0.0007693187014174668
REAL_32.jpg,REAL,9.520824,0.0,42.0,0.0007085905349794239
REAL_33.jpg,REAL,3.6146297,0.0,25.0,3.858024691358025e-06
REAL_34.jpg,REAL,11.134083,9.0,28.0,1.2860082304526749e-05
REAL_35.jpg,REAL,11.9837475,7.0,36.0,0.0002034750800182899
REAL_36.jpg,REAL,9.255449,7.0,25.0,1.881767124080829e-05
REAL_37.jpg,REAL,15.642478,13.0,43.0,8.00182898948331e-05
REAL_38.jpg,REAL,18.76165,17.0,49.0,9.259259259259259e-05
REAL_39.jpg,REAL,12.669011,10.0,34.0,0.00014117512574302697
REAL_4.jpg,REAL,11.278894,10.0,28.0,1.7146776406035666e-05
REAL_40.jpg,REAL,5.719433,3.0,21.0,3.429355281207133e-06
REAL_41.jpg,REAL,12.560044,8.0,37.0,0.00013237311385459535
REAL_42.jpg,REAL,7.841942,6.0,21.0,0.0
REAL_43.jpg,REAL,10.591391,6.0,35.0,0.0003429355281207133
REAL_44.jpg,REAL,5.795687,3.0,20.0,5.887059899405578e-05
REAL_45.jpg,REAL,4.7641473,4.0,13.0,0.0
REAL_46.jpg,REAL,2.5858648,0.0,19.0,0.00015625
REAL_47.jpg,REAL,7.210009,3.0,25.0,1.286008230452675e-06
REAL_48.jpg,REAL,8.255241,5.0,26.0,2.57201646090535e-06
REAL_49.jpg,REAL,12.875759,9.0,40.0,0.00014025725232621783
REAL_5.jpg,REAL,8.824208,4.0,29.0,0.0002282664609053498
REAL_50.jpg,REAL,7.11569,4.0,23.0,7.501714677640604e-06
REAL_6.jpg,REAL,11.6359215,4.0,43.0,5.715592135345222e-06
REAL_7.jpg,REAL,18.061295,15.0,49.0,0.00031815328425497915
REAL_8.jpg,REAL,10.0738535,8.0,29.0,6.651766709237974e-07
REAL_9.jpg,REAL,8.024894,4.0,28.0,8.236553825879253e-06
