filename,label,mean,median,p95,high_error_ratio,ela_score
FAKE_2791.jpg,FAKE,15.62616,8.0,53.84999999999855,0.00146484375,0.5167894881217421
FAKE_2792.jpg,FAKE,24.438782,21.0,64.0,0.001708984375,0.8583967070396038
FAKE_2793.jpg,FAKE,19.336792,15.0,55.0,0.0009765625,0.6606262120783151
FAKE_2794.jpg,FAKE,23.918701,20.0,58.0,0.001220703125,0.8382365975940811
FAKE_2795.jpg,FAKE,14.948303,9.0,46.0,0.00048828125,0.4905134439893595
FAKE_2796.jpg,FAKE,24.767761,15.0,90.0,0.0120849609375,0.8711490526266923
FAKE_2797.jpg,FAKE,13.281982,10.0,38.0,0.0001220703125,0.42592117137918395
FAKE_2798.jpg,FAKE,13.451355,11.0,35.0,0.0,0.43248664525174707
FAKE_2799.jpg,FAKE,15.690369,5.0,59.0,0.00244140625,0.5192784474711272
FAKE_2800.jpg,FAKE,27.557068,25.0,73.0,0.0047607421875,0.9792720842259286
FAKE_2801.jpg,FAKE,19.51587,16.0,54.84999999999855,0.00164794921875,0.6675678847779241
FAKE_2802.jpg,FAKE,22.122498,17.0,59.0,0.0013427734375,0.768609656663003
FAKE_2803.jpg,FAKE,18.57837,15.0,53.0,0.0009765625,0.6312271943755108
FAKE_2804.jpg,FAKE,15.962219,13.0,40.0,0.0,0.5298162786027495
FAKE_2805.jpg,FAKE,13.860535,6.0,53.0,0.0009765625,0.4483478545305305
FAKE_2806.jpg,FAKE,19.529907,15.0,54.0,0.00048828125,0.6681120066671814
FAKE_2807.jpg,FAKE,13.860535,6.0,53.0,0.0009765625,0.4483478545305305
FAKE_2808.jpg,FAKE,15.872986,11.0,52.0,0.0008544921875,0.5263573038542925
FAKE_2809.jpg,FAKE,12.802063,10.0,34.0,0.0,0.4073178777287992
FAKE_2810.jpg,FAKE,18.734985,12.0,63.0,0.0025634765625,0.6372981247513765
FAKE_2811.jpg,FAKE,15.167725,12.0,44.0,0.00048828125,0.49901898742346973
FAKE_2812.jpg,FAKE,23.494385,20.0,63.0,0.00189208984375,0.8217886654460381
FAKE_2813.jpg,FAKE,18.154053,16.0,43.0,0.0001220703125,0.6147792234640648
FAKE_2814.jpg,FAKE,14.964661,12.0,39.0,0.0,0.4911475357372023
FAKE_2815.jpg,FAKE,23.19226,19.0,62.0,0.00201416015625,0.8100772722856872
FAKE_2816.jpg,FAKE,12.861145,10.0,34.0,0.0,0.4096080971105116
FAKE_2817.jpg,FAKE,19.34259,17.0,48.0,0.0008544921875,0.6608509622894653
